Winter Crop,New South Wales_Area,New South Wales_Prod,Victoria_Area,Victoria_Prod,Queensland_Area,Queensland_Prod,South Australia_Area,South Australia_Prod,Western Australia_Area,Western Australia_Prod,Tasmania_Area,Tasmania_Prod
2019–20,54.629,95.472,0.0,0.0,14.766,35.361,0.0,0.0,0.0,0.0,0.0,0.0
2020–21,192.76,441.606,0.0,0.0,104.62,254.937,0.0,0.0,0.0,0.0,0.0,0.0
2021–22,406.459,1004.757,0.0,0.0,214.155,507.87,0.0,0.0,2.395,6.535,0.0,0.0
2022–23 s,340.046,842.027,0.0,0.0,218.91,593.819,0.0,0.0,2.2,5.148,0.0,0.0
2023-24 f,272.5,709.93,0.0,0.0,123.0,330.655,0.0,0.0,2.5,5.85,0.0,0.0
Five–year average to 2022–23,248.859,552.935,0.0,0.0,136.272,317.188,0.0,0.0,0.919,2.337,0.0,0.0
Rice ,,,,,,,,,,,,
2017–18,60.055,628.135,0.0,0.0,1.023,6.882,0.0,0.0,0.003,0.036,0.0,0.0
2018–19,6.748,61.187,0.0,0.0,0.764,5.124,0.0,0.0,0.0,0.0,0.0,0.0
2019–20,4.247,46.128,0.0,0.0,0.637,3.591,0.0,0.0,0.0,0.0,0.0,0.0
2020–21,43.907,416.827,0.36,1.728,0.699,4.069,0.0,0.0,0.0,0.0,0.0,0.0
2021–22,61.597,685.448,0.129,1.68,0.623,3.317,0.0,0.0,0.0,0.0,0.0,0.0
2022–23 s,51.0,515.0,0.107,0.547,0.56,2.985,0.0,0.0,0.0,0.0,0.0,0.0
2023-24 f,70.0,693.109,0.147,0.881,0.769,5.37,0.0,0.0,0.0,0.0,0.0,0.0
Five–year average to 2022–23,33.5,344.918,0.119,0.791,0.657,3.817,0.0,0.0,0.0,0.0,0.0,0.0
